"filename", "language", "TypeScript", "Less", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/lovelace.css", "CSS", 0, 0, 0, -128, 0, -8, -11, -147
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/manni.css", "CSS", 0, 0, 0, -121, 0, -9, -10, -140
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/monokai.css", "CSS", 0, 0, 0, -120, 0, -3, -10, -133
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/monokailight.css", "CSS", 0, 0, 0, -153, 0, -14, -14, -181
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/murphy.css", "CSS", 0, 0, 0, -126, 0, -7, -12, -145
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/native.css", "CSS", 0, 0, 0, -132, 0, -19, -14, -165
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/paraiso-dark.css", "CSS", 0, 0, 0, -116, 0, -11, -11, -138
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/paraiso-light.css", "CSS", 0, 0, 0, -116, 0, -11, -10, -137
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/pastie.css", "CSS", 0, 0, 0, -146, 0, -10, -25, -181
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/perldoc.css", "CSS", 0, 0, 0, -120, 0, -12, -10, -142
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/pygments.css", "CSS", 0, 0, 0, -136, 0, -7, -17, -160
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/rainbow_dash.css", "CSS", 0, 0, 0, -143, 0, -5, -17, -165
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/rrt.css", "CSS", 0, 0, 0, -125, 0, -10, -25, -160
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/solarized-dark.css", "CSS", 0, 0, 0, -123, 0, -11, -13, -147
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/solarized-dark256.css", "CSS", 0, 0, 0, -124, 0, -9, -14, -147
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/solarized-light.css", "CSS", 0, 0, 0, -141, 0, -11, -12, -164
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/swapoff.css", "CSS", 0, 0, 0, -121, 0, -6, -18, -145
"/Users/yunuszhang/code/demo/demo_study_vditor/vditor/src/js/highlight.js/styles/tango.css", "CSS", 0, 0, 0, -161, 0, -10, -13, -184
